Date,Headline,Link
2022-03-31,Russia says its military is regrouping. A ramped-up assault on eastern Ukraine could be next,https://www.cnn.com/2022/03/31/europe/ukraine-russia-troops-regrouping-intl-cmd/index.html
2022-03-31,Russia raises stakes in energy standoff by insisting on rubles for gas,https://www.cnn.com/2022/03/31/energy/russia-gas-ruble-standoff/index.html
2022-03-31,Georgia says ‘unacceptable’ for breakaway region to vote on joining Russia,https://www.cnn.com/2022/03/31/europe/georgia-south-ossetia-russia-vote-intl/index.html
2022-03-31,Putin’s plan to prop up the ruble is working. For now,https://www.cnn.com/2022/03/31/investing/russia-ruble-putin/index.html
2022-03-31,US intel assess ‘major’ strategy shift by Russia as it moves some forces away from Kyiv,https://www.cnn.com/2022/03/29/politics/us-intelligence-russia-ukraine-kyiv-strategy/index.html
2022-03-31,Russian Foreign Minister Sergey Lavrov visits China and India under shadow of Ukraine war,https://www.cnn.com/2022/03/31/asia/lavrov-russia-visits-china-india-intl-hnk/index.html
2022-03-31,Putin’s war has triggered an exodus out of Russia – but the escape options are shrinking,https://www.cnn.com/2022/03/30/europe/russia-ukraine-brain-drain-graphics-intl-cmd/index.html
2022-03-31,Russian bombardment of Ukrainian cities blunts hopes of swift breakthrough,https://www.cnn.com/2022/03/30/europe/ukraine-russia-bombardment-intl/index.html
2022-03-30,Ukrainian members of parliament say Russia peace talks are not real,https://www.cnn.com/2022/03/30/politics/ukraine-parliament-russia-skepticism/index.html
2022-03-30,US works to gauge peace prospects as it warns Putin ‘misinformed’ by advisers,https://www.cnn.com/2022/03/30/politics/biden-zelensky-putin-intelligence/index.html
2022-03-30,Germany issues ‘early warning’ of possible gas shortages as Russia threatens supplies,https://www.cnn.com/2022/03/30/business/germany-russia-gas-warning/index.html
2022-03-30,A far-right battalion has a key role in Ukraine’s resistance. Its neo-Nazi history has been exploited by Putin,https://www.cnn.com/2022/03/29/europe/ukraine-azov-movement-far-right-intl-cmd/index.html
2022-03-30,Russian oil tankers are vanishing off the map,https://www.cnn.com/2022/03/30/business/russia-sanctions-oil/index.html
2022-03-30,‘I can fight with a keyboard’: How one Ukrainian IT specialist exposed a notorious Russian ransomware gang,https://www.cnn.com/2022/03/30/politics/ukraine-hack-russian-ransomware-gang/index.html
2022-03-30,Putin’s lies and carnage cloud hopes for an end to Ukraine war,https://www.cnn.com/2022/03/30/politics/analysis-us-skepticism-russia-putin-kyiv-pledge/index.html
2022-03-29,US skeptical of Russian claims it’s scaling back the war in Ukraine,https://www.cnn.com/2022/03/29/politics/biden-administration-skeptical-of-russia/index.html
2022-03-29,Russia says it will reduce military operations around Kyiv following talks with Ukraine,https://www.cnn.com/2022/03/29/europe/russia-reduce-assault-kyiv-plan-intl/index.html
2022-03-29,Top US general in Europe says there ‘could be’ an intelligence gap in US that caused US to overestimate Russia’s capabilities,https://www.cnn.com/2022/03/29/politics/tod-wolters-intelligence-gap-us-russia-ukraine/index.html
2022-03-29,Russia-Ukraine talks offer roadmap to a truce – but one that passes through a minefield,https://www.cnn.com/2022/03/29/europe/ukraine-russia-istanbul-talks-analysis-tuesday-intl-cmd/index.html
2022-03-29,Will Russia use its gas to ‘blackmail’ Europe? We’re about to find out,https://www.cnn.com/2022/03/29/business/russia-gas-europe-blackmail/index.html
2022-03-29,Why Turkey is in a unique position to mediate,https://www.cnn.com/2022/03/29/opinions/turkey-mediator-russia-ukraine-dalay/index.html
2022-03-29,Biden says he was ‘expressing my outrage’ but not making a policy change when he said Putin ‘cannot remain in power’,https://www.cnn.com/2022/03/28/politics/biden-putin-ukraine-russia/index.html
2022-03-28,Putin has hitched his ‘Russophobia’ cart to the latest culture war wagon,https://www.cnn.com/2022/03/28/opinions/putin-harry-potter-jk-rowling-borenstein/index.html
2022-03-28,Scientific collaboration with Russia begins to unravel,https://www.cnn.com/2022/03/28/europe/russian-scientists-collaboration-scn/index.html
2022-03-28,Heineken and Carlsberg are leaving Russia,https://www.cnn.com/2022/03/28/business/heineken-russia-exit/index.html
2022-03-28,Russian newspaper edited by Nobel winner to halt publication after warnings from Moscow,https://www.cnn.com/2022/03/28/media/novaya-gazeta-russia-ukraine/index.html
2022-03-28,Donald Trump just can’t stop praising Vladimir Putin,https://www.cnn.com/2022/03/28/politics/trump-putin-ukraine-russia-smart/index.html
2022-03-28,Ukrainians disrupt and derail Russian offensive as war moves to new phase,https://www.cnn.com/2022/03/27/europe/ukraine-russia-conflict-new-phase-intl-cmd/index.html
2022-03-28,Finland cuts one of the last trains between Russia and the EU,https://www.cnn.com/travel/article/eu-finland-russia-rail-link/index.html
2022-03-28,"March 27, 2022 Russia-Ukraine news",https://www.cnn.com/europe/live-news/ukraine-russia-putin-news-03-27-22/index.html
2022-03-28,"They fled Afghanistan’s takeover by the Taliban last year. Now they’ve fled Ukraine, refugees again",https://www.cnn.com/2022/03/28/world/afghanistan-refugees-leave-ukraine-war/index.html
2022-03-28,Biden’s off-the-cuff remark on Putin sends shock waves on dramatic final day of trip,https://www.cnn.com/2022/03/27/politics/joe-biden-vladimir-putin-ukraine-war/index.html
2022-03-27,The number that puts Vladimir Putin at risk,https://www.cnn.com/2022/03/24/opinions/russian-troops-ukraine-war-putin-at-risk/index.html
2022-03-27,These Russian journalists found a way to report from outside the country,https://www.cnn.com/2022/03/27/media/reliable-sources-rain-tv/index.html
2022-03-27,"Amid speculation over his whereabouts, Russia’s defense minister resurfaces",https://www.cnn.com/2022/03/24/europe/russia-sergei-shoigu-health-intl/index.html
2022-03-27,The 2022 campaign story was set. Then Russia invaded Ukraine.,https://www.cnn.com/2022/03/27/politics/2022-midterm-elections-russia-ukraine-invasion/index.html
2022-03-27,"‘Preparation, not panic’: Top US cyber official asks Americans to look out for Russian hacking efforts",https://www.cnn.com/2022/03/26/politics/jen-easterly-interview-russia-cnntv/index.html
2022-03-26,Biden says Putin ‘cannot remain in power’,https://www.cnn.com/2022/03/26/politics/biden-warsaw-saturday/index.html
2022-03-26,Biden calls Putin ‘a butcher’ after meeting with refugees in Poland,https://www.cnn.com/2022/03/26/politics/joe-biden-vladimir-putin-butcher/index.html
2022-03-26,Russia says first phase of war is over as its advances in Ukraine appear to have stalled,https://www.cnn.com/2022/03/25/europe/russian-general-calls-encirclement-of-ukrainian-cities-a-deliberate-plan/index.html
